2025-11-12 21:03:40,592 | DEBUG | dictator.logging_setup | Logging initialized in logs\run-20251112-210340
2025-11-12 21:03:40,593 | INFO | DictatorService | Logging initialized (run_dir=logs\run-20251112-210340, structured=True)
2025-11-12 21:03:40,593 | DEBUG | DictatorService.ThreadMonitor | Thread monitor enabled (interval=30.0s)
2025-11-12 21:03:40,593 | DEBUG | DictatorService.ThreadMonitor | Starting thread monitor (interval=30.0s)
2025-11-12 21:03:40,624 | INFO | DictatorService | 🎙️ Dictator Service initializing...
2025-11-12 21:03:40,624 | INFO | DictatorService.ThreadMonitor | Thread snapshot: total=42, top=[{'id': 30432, 'name': 'MainThread', 'cpu_ms': 6734.38}, {'id': 33176, 'name': 'unknown', 'cpu_ms': 5156.25}, {'id': 33444, 'name': 'unknown', 'cpu_ms': 1218.75}, {'id': 9604, 'name': 'unknown', 'cpu_ms': 1218.75}, {'id': 19048, 'name': 'unknown', 'cpu_ms': 1218.75}]
2025-11-12 21:03:40,624 | INFO | DictatorService | 📦 Loading Whisper model 'large-v3' on cuda...
2025-11-12 21:03:40,625 | INFO | DictatorService |    Using faster-whisper with compute_type=float16
2025-11-12 21:03:40,626 | DEBUG | httpcore.connection | close.started
2025-11-12 21:03:40,626 | DEBUG | httpcore.connection | close.complete
2025-11-12 21:03:40,626 | DEBUG | httpcore.connection | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=None socket_options=None
2025-11-12 21:03:40,643 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000002B4D2AF7A80>
2025-11-12 21:03:40,643 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x000002B4D2F6B070> server_hostname='huggingface.co' timeout=None
2025-11-12 21:03:40,648 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000002B7D7012330>
2025-11-12 21:03:40,648 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2025-11-12 21:03:40,648 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-11-12 21:03:40,648 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2025-11-12 21:03:40,648 | DEBUG | httpcore.http11 | send_request_body.complete
2025-11-12 21:03:40,648 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
