2025-11-12 21:06:04,635 | DEBUG | dictator.logging_setup | Logging initialized in logs\run-20251112-210604
2025-11-12 21:06:04,635 | INFO | DictatorService | Logging initialized (run_dir=logs\run-20251112-210604, structured=True)
2025-11-12 21:06:04,635 | DEBUG | DictatorService.ThreadMonitor | Thread monitor enabled (interval=30.0s)
2025-11-12 21:06:04,635 | DEBUG | DictatorService.ThreadMonitor | Starting thread monitor (interval=30.0s)
2025-11-12 21:06:04,665 | INFO | DictatorService | 🎙️ Dictator Service initializing...
2025-11-12 21:06:04,666 | INFO | DictatorService.ThreadMonitor | Thread snapshot: total=43, top=[{'id': 30868, 'name': 'unknown', 'cpu_ms': 13890.62}, {'id': 30432, 'name': 'MainThread', 'cpu_ms': 9218.75}, {'id': 35992, 'name': 'unknown', 'cpu_ms': 3343.75}, {'id': 3172, 'name': 'unknown', 'cpu_ms': 3328.12}, {'id': 33844, 'name': 'unknown', 'cpu_ms': 3312.5}]
2025-11-12 21:06:04,666 | INFO | DictatorService | 📦 Loading Whisper model 'large-v3' on cuda...
2025-11-12 21:06:04,667 | INFO | DictatorService |    Using faster-whisper with compute_type=float16
2025-11-12 21:06:04,667 | DEBUG | httpcore.connection | close.started
2025-11-12 21:06:04,667 | DEBUG | httpcore.connection | close.complete
2025-11-12 21:06:04,667 | DEBUG | httpcore.connection | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=None socket_options=None
2025-11-12 21:06:04,682 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000002B4D43AE030>
2025-11-12 21:06:04,682 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x000002B4D2F6B070> server_hostname='huggingface.co' timeout=None
2025-11-12 21:06:04,687 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000002B4D43AD6A0>
2025-11-12 21:06:04,687 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2025-11-12 21:06:04,687 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-11-12 21:06:04,687 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2025-11-12 21:06:04,688 | DEBUG | httpcore.http11 | send_request_body.complete
2025-11-12 21:06:04,688 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
