2025-11-12 21:08:09,272 | DEBUG | dictator.logging_setup | Logging initialized in logs\run-20251112-210809
2025-11-12 21:08:09,273 | INFO | DictatorService | Logging initialized (run_dir=logs\run-20251112-210809, structured=True)
2025-11-12 21:08:09,273 | DEBUG | DictatorService.ThreadMonitor | Thread monitor enabled (interval=30.0s)
2025-11-12 21:08:09,273 | DEBUG | DictatorService.ThreadMonitor | Starting thread monitor (interval=30.0s)
2025-11-12 21:08:09,303 | INFO | DictatorService | 🎙️ Dictator Service initializing...
2025-11-12 21:08:09,303 | INFO | DictatorService.ThreadMonitor | Thread snapshot: total=41, top=[{'id': 30432, 'name': 'MainThread', 'cpu_ms': 17312.5}, {'id': 27552, 'name': 'unknown', 'cpu_ms': 1968.75}, {'id': 17812, 'name': 'unknown', 'cpu_ms': 1062.5}, {'id': 31144, 'name': 'unknown', 'cpu_ms': 1062.5}, {'id': 35076, 'name': 'unknown', 'cpu_ms': 1046.88}]
2025-11-12 21:08:09,304 | INFO | DictatorService | 📦 Loading Whisper model 'large-v3' on cuda...
2025-11-12 21:08:09,304 | INFO | DictatorService |    Using faster-whisper with compute_type=float16
2025-11-12 21:08:09,305 | DEBUG | httpcore.connection | close.started
2025-11-12 21:08:09,305 | DEBUG | httpcore.connection | close.complete
2025-11-12 21:08:09,305 | DEBUG | httpcore.connection | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=None socket_options=None
2025-11-12 21:08:09,308 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000002B7CAE584B0>
2025-11-12 21:08:09,308 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x000002B4D2F6B070> server_hostname='huggingface.co' timeout=None
2025-11-12 21:08:09,315 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000002B4D43CF690>
2025-11-12 21:08:09,315 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2025-11-12 21:08:09,315 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-11-12 21:08:09,315 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2025-11-12 21:08:09,315 | DEBUG | httpcore.http11 | send_request_body.complete
2025-11-12 21:08:09,315 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2025-11-12 21:08:09,453 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'4600'), (b'Connection', b'keep-alive'), (b'Date', b'Thu, 13 Nov 2025 00:08:09 GMT'), (b'ETag', b'W/"11f8-OdbdQ9ef6Cr/xpj0m27tBd+pzac"'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-69152169-2e34a38209fa201e7619d324;065b9d8c-8415-430f-913f-03c22f7fe93d'), (b'RateLimit', b'"api";r=498;t=250'), (b'RateLimit-Policy', b'"fixed window";"api";q=500;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Vary', b'Origin'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 3f0333517098f50ad0dbe5a864534ad4.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'GIG52-P2'), (b'X-Amz-Cf-Id', b'huQ0yQvRn38GDr-wh-HMtb_y_Za0qXqBT4VctYtSgDFbMRSqXDmepA==')])
2025-11-12 21:08:09,454 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-large-v3/revision/main "HTTP/1.1 200 OK"
2025-11-12 21:08:09,454 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2025-11-12 21:08:09,454 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-11-12 21:08:09,454 | DEBUG | httpcore.http11 | response_closed.started
2025-11-12 21:08:09,454 | DEBUG | httpcore.http11 | response_closed.complete
2025-11-12 21:08:11,412 | INFO | DictatorService | ✅ Model 'large-v3' loaded successfully on cuda!
2025-11-12 21:08:11,412 | INFO | DictatorService | 🎮 Using GPU: NVIDIA GeForce RTX 5080 (15.9 GB VRAM)
2025-11-12 21:08:11,413 | INFO | DictatorService | 🎤 Loading TTS engine...
2025-11-12 21:08:11,413 | INFO | KokoroTTS | 🎤 Loading Kokoro TTS (model=kokoro-v1.0.onnx)...
2025-11-12 21:08:11,928 | INFO | KokoroTTS | ✅ Kokoro TTS loaded successfully!
2025-11-12 21:08:11,928 | INFO | DictatorService | ✅ TTS engine loaded successfully!
2025-11-12 21:08:11,929 | INFO | DictatorService | 🎯 Loading event-driven voice session...
2025-11-12 21:08:11,929 | INFO | DictatorService | 🎤 VAD enabled: False
2025-11-12 21:08:11,929 | INFO | DictatorService | 🔗 Using N8N Tool-Calling provider: http://localhost:15678/webhook/dictator-llm
2025-11-12 21:08:11,930 | DEBUG | asyncio | Using proactor: IocpProactor
2025-11-12 21:08:11,930 | INFO | DictatorService | 🎤 Starting voice session (attempt 1/3)
2025-11-12 21:08:11,930 | INFO | DictatorService | 🔗 Event loop configured for thread-safe publishing
2025-11-12 21:08:11,930 | INFO | DictatorService | 🔄 Event processor started
2025-11-12 21:08:12,030 | INFO | DictatorService | ✅ Event-driven voice session loaded - ZERO polling!
2025-11-12 21:08:12,031 | INFO | DictatorService | 🚀 Dictator Service started
